7654,1896,Lumiere Brothers' First Films 
4975,1909,D.W. Griffith: Years of Discovery 1909-1913 
9103,1914,Tillie's Punctured Romance 
10898,1914,Cabiria 
3137,1915,Les Vampires 
8821,1915,The Birth of a Nation 
9001,1915,Chaplin's Essanay Comedies: Vol. 3 
13147,1915,Chaplin's Essanay Comedies: Vol. 1 
14687,1915,Chaplin's Essanay Comedies: Vol. 2 
394,1916,20000 Leagues Under the Sea 
3387,1916,Intolerance 
15896,1916,Chaplin Mutuals: Vol. 3 
16157,1916,Chaplin Mutuals: Vol. 2 
4188,1917,Slapstick Masters 
4755,1917,The Cook and Other Treasures 
9810,1917,Chaplin Mutuals: Vol. 1 
237,1918,Broken Blossoms 
370,1918,Chaplin 
5399,1919,Daddy Long Legs 
5938,1919,Male and Female 
8539,1919,The Cabinet of Dr. Caligari 
12148,1919,Felix!: Felix the Cat 1919-1930 
12657,1919,Chaplin: The Collection: Vol. 5 
12921,1919,Chaplin: The Collection: Vol. 3 
14692,1919,Chaplin: The Collection: Vol. 1 
17620,1919,Spiders 
2847,1920,The Mark of Zorro 
3457,1920,Slapstick Symposium: The Harold Lloyd Collection 
3855,1920,Way Down East 
5110,1920,The Mark of Zorro / Don Q: Son of Zorro 
9898,1920,Dr. Jekyll and Mr. Hyde 
13798,1920,The Last of the Mohicans 
234,1921,Animation Legend: Winsor McCay 
1407,1921,Orphans of the Storm 
3790,1921,Avant-Garde: Experimental Cinema of the 1920s and '30s 
3823,1921,Sheik / The Son of the Sheik 
8264,1921,The Three Musketeers 
9253,1921,Destiny 
10264,1921,The Saphead (Silent) 
11825,1921,The Kid 
16598,1921,The Marriage Circle 
2021,1922,Robin Hood 
5682,1922,Oliver Twist 
8833,1922,Foolish Wives / The Man You Loved to Hate: Double Feature 
9631,1922,Haxan: Witchcraft Through the Ages 
11318,1922,Nanook of the North 
14846,1922,Cyrano de Bergerac 
7514,1923,The Hunchback of Notre Dame 
11586,1923,Three Ages 
2644,1924,Thief of Bagdad 
3554,1924,The Last Laugh 
6669,1924,The Navigator 
16648,1924,Aelita Queen of Mars 
1767,1925,The Gold Rush: Bonus Material 
3906,1925,Go West 
4249,1925,Battleship Potemkin 
4301,1925,Strike 
5210,1925,Grass: A Nation's Battle for Life 
5963,1925,The Gold Rush 
7660,1925,Seven Chances (Silent) 
10484,1925,Sally of the Sawdust 
12311,1925,The Phantom of the Opera 
13678,1925,The Lost World 
15318,1925,Tumbleweeds 
15607,1925,Earth / The End of St. Petersburg / Chess Fever: Triple Feature 
3692,1926,Mother (Russian Silent) 
5133,1926,Sparrows 
6086,1926,Battling Butler 
11465,1926,Alfred Hitchcock: Sabotage and The Lodger 
11973,1926,Son of the Sheik 
12109,1926,Faust 
